Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
243685,A History of Western Philosophy,Bertrand Russell,"Russell, Bertrand",,"=""0671201581""","=""9780671201586""",0,4.13,Simon & Schuster,Paperback,906,1986,1945,,2019/05/16,to-read,to-read (#62),to-read,,,,0,0
40696923,Blueprint: The Evolutionary Origins of a Good Society,Nicholas A. Christakis,"Christakis, Nicholas A.",,"=""0316230030""","=""9780316230032""",0,3.96,"Little, Brown Spark",Hardcover,544,2019,2019,,2019/05/13,to-read,to-read (#61),to-read,,,,0,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti","=""""","=""""",0,3.89,Signet Classics,Paperback,118,2002,1895,,2019/05/13,to-read,to-read (#60),to-read,,,,0,0
28695898,Eternal Sonata,Jamie Metzl,"Metzl, Jamie",,"=""1628726792""","=""9781628726794""",0,3.70,Arcade Publishing,Hardcover,308,2016,2016,,2019/05/13,to-read,to-read (#59),to-read,,,,0,0
40081165,The Curse of Bigness: Antitrust in the New Gilded Age,Tim Wu,"Wu, Tim",,"=""0999745468""","=""9780999745465""",0,4.16,Columbia Global Reports,Paperback,154,2018,2018,,2019/05/04,to-read,to-read (#58),to-read,,,,0,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",0,3.92,Penguin Classics,Paperback,244,2006,1876,,2019/05/03,to-read,to-read (#57),to-read,,,,0,0
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson, William Little Hughes","=""0142437174""","=""9780142437179""",0,3.83,Penguin Classics,Paperback,327,2002,1884,,2019/05/03,to-read,to-read (#56),to-read,,,,0,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,4.10,Dial Press,Paperback,275,1999,1969,,2019/05/03,to-read,to-read (#55),to-read,,,,0,0
36681909,"Conspiracy: Peter Thiel, Hulk Hogan, Gawker, and the Anatomy of Intrigue",Ryan Holiday,"Holiday, Ryan",,"=""0735217661""","=""9780735217669""",0,3.97,Portfolio,Kindle Edition,334,2018,2018,,2019/04/24,to-read,to-read (#54),to-read,,,,0,0
22613,Simulacra and Simulation,Jean Baudrillard,"Baudrillard, Jean",Sheila Faria Glaser,"=""0472065211""","=""9780472065219""",0,4.00,University of Michigan Press,Paperback,164,1994,1981,,2019/04/24,to-read,to-read (#53),to-read,,,,0,0
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",0,3.99,Harper,Paperback,228,2005,1983,,2019/04/22,to-read,to-read (#52),to-read,,,,0,0
26831944,"The Age of Em: Work, Love and Life When Robots Rule the Earth",Robin Hanson,"Hanson, Robin",,"=""0198754620""","=""9780198754626""",0,3.43,Oxford University Press,Hardcover,440,2016,2016,,2019/04/19,to-read,to-read (#51),to-read,,,,0,0
28820444,The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,"Simler, Kevin",Robin Hanson,"=""0190496010""","=""9780190496012""",0,3.96,Oxford University Press,ebook,408,2017,2017,,2019/04/19,to-read,to-read (#50),to-read,,,,0,0
44290122,The Human Network: How We're Connected and Why It Matters,Matthew O. Jackson,"Jackson, Matthew O.",,"=""1786490218""","=""9781786490216""",0,3.86,Atlantic Books,Kindle Edition,344,2019,,,2019/04/04,to-read,to-read (#49),to-read,,,,0,0
40597264,Hacking Darwin: Genetic Engineering and the Future of Humanity,Jamie Metzl,"Metzl, Jamie",,"=""149267009X""","=""9781492670094""",0,3.98,Sourcebooks,Hardcover,327,2019,2019,,2019/04/01,to-read,to-read (#48),to-read,,,,0,0
